,K_sa,K_sb,k_ba,k_ab,K_ba,K_ab,k_sa,k_sb
0.172489483668234,0.014731125488726,0.865288190081303,0.464536477797223,0.408359474684625,0.006547337040276,0.531194630711516,0.228367990320449,0.649494275072975
0.064352161973227,0.376865564689151,0.321369397747685,0.267579734627637,0.364915506048257,0.278131295191232,0.047349964227334,0.584339394133207,0.801175894808351
0.391207461395315,0.046035842558674,0.670933987992222,0.724270916282927,0.224766116048473,0.013094135742008,0.848075926850171,0.91380553069084,0.464846282583046
0.041838445292492,0.622519444642927,0.894965054212701,0.374023912588513,0.264521593683067,0.357509283140091,0.373181499224025,0.886841295063191,0.896731717608257
0.097270751378628,0.063466704816061,0.930752446535293,0.217633065314429,0.833992008873415,0.080924033342645,0.864449076069501,0.547343555091988,0.750531406219196
0.054612570045535,0.125532940526174,0.913841163794744,0.267027627733754,0.221315157471288,0.338660795848845,0.146817942891357,0.559582398809246,0.553124053545776
0.103887089977128,0.004953541630433,0.866808924910821,0.554983516525106,0.382720530062551,0.46715229452191,0.408785305278107,0.633616483553317,0.728911397802659
0.050253672167864,0.597972187545216,0.07958196119785,0.289759664816043,0.109668138277636,0.838525474827521,0.302806635300892,0.175865155944997,0.361389099148929
0.223576642364818,0.270732282467804,0.004716069006026,0.793576656666299,0.79549821456066,0.093870418423352,0.912904154994218,0.997938558843151,0.867323494018702
0.100044361312024,0.347116180021569,0.030637884532954,0.306890816199577,0.22455960640059,0.10498339301568,0.059088585065042,0.159738944970965,0.756337748839023
0.074389777998684,0.042090432400046,0.419218039684494,0.993068616692098,0.452581891846425,0.456167204722147,0.077403265874847,0.942569838429473,0.909896332171791
0.035806683869378,0.792808989833481,0.528929709305886,0.035056071119111,0.210323954256906,0.940612440421056,0.072025985889384,0.060792165626304,0.6685115166948
0.060580330620781,0.183782755164562,0.744798033118447,0.775542752748501,0.038708925055259,0.930948256564668,0.031828534228735,0.293667333445832,0.459622648077078
0.075590824655484,0.938330685014078,0.028686442848952,0.100192920039648,0.743168692156888,0.355368425298253,0.43105110402028,0.31322887975413,0.799907867119923
0.052726907292902,0.982933062492197,0.22717658820577,0.063553221202101,0.838298824854073,0.158388957928574,0.472188743040048,0.437216588113432,0.847375978916579
0.191804555496929,0.280580909885665,0.687840023893634,0.258975569593462,0.141410543910185,0.018113863346471,0.392485900709608,0.303414480810799,0.964105665634878
0.196471514838354,0.477772010726627,0.53363162611699,0.25663434673821,0.16862861751716,0.127939986354364,0.02811150341622,0.88799397503654,0.540806178389149
0.077680774043015,0.323421692164286,0.057984749611956,0.533324094263067,0.173599919635734,0.239667781213717,0.083451338157124,0.306760539015951,0.563243951469404
0.052611168755632,0.089606846394046,0.130050203703137,0.457154158482445,0.664570521017953,0.057967855650643,0.189473895337273,0.905137963260557,0.616982932142952
0.015459072947269,0.975766733352996,0.060638225920115,0.36368849501959,0.097857730675089,0.606955620727888,0.492248893991019,0.253621194946673,0.323964483044084
0.220055539187261,0.420920095903402,0.137338949532902,0.93287192323979,0.264362687571977,0.20098130433169,0.001310060752022,0.999833806739095,0.927499064207496
0.136556645103164,0.156933935334476,0.72528066445339,0.150392596931209,0.498727675328684,0.005848616510075,0.525213500737352,0.60839302967832,0.523044154900216
0.335209050373663,0.007245344703153,0.026187837250935,0.532364765286475,0.649172575383662,0.073267912807367,0.580390923752405,0.300400708345094,0.924641436518607
0.172048186266382,0.584345816962026,0.692831390502324,0.332720440240494,0.049479660409968,0.016123701711205,0.874132452978863,0.659982903493593,0.379906916956516
0.188219120553427,0.298393387209768,0.496052836011222,0.802210483040463,0.263459274029435,0.000231014756932,0.764483458203041,0.939450549743768,0.48482334614987
0.11901883373627,0.127726968469893,0.343961847992344,0.284870510603211,0.247430886829653,0.049740395882439,0.942066519069553,0.480850707822693,0.21929739275404
0.080463249065352,0.303286275881676,0.450594214293108,0.141245968317471,0.492226808896017,0.095650205417423,0.952341243964312,0.322040901993782,0.627566001878277
0.06803118219823,0.009026587203922,0.363083513934686,0.282205067004325,0.43948574580318,0.730228405168661,0.410915432717554,0.440317922919762,0.373468105619127
0.043534161180934,0.742410638642195,0.370384621223507,0.050828660899612,0.166473505535431,0.152983180429945,0.638672494501479,0.157490934570343,0.267117663188189
0.088978545393706,0.149916483083693,0.362714435372639,0.843761871068129,0.041090396538517,0.099939903443441,0.061484357561501,0.546789486214165,0.147428656352254
0.048907064398206,0.392883276956443,0.381461653475704,0.839495054608248,0.13453268489015,0.434370902104625,0.169977997972494,0.881389565167961,0.518092828110183
0.082672082669102,0.058568090539234,0.785325998697046,0.622668354797174,0.276628794729757,0.300168886018574,0.692246823023679,0.646935603356131,0.842957142970172
0.073669698398275,0.197280319510029,0.084629075037661,0.794571618674292,0.424693795966327,0.631838490370249,0.056567060200574,0.415329409532643,0.928902671718422
0.031088710320792,0.936796114413742,0.042247375706594,0.343513670762582,0.234899857976585,0.336423848325422,0.035939407994623,0.836597728255225,0.346018661740581
0.206707839856971,0.337693426212511,0.048813575650749,0.641123735969492,0.497651612026434,0.043952480788699,0.860981916093115,0.851187276293262,0.846724853688504
0.312033025163314,0.000623861592862,0.085900098019586,0.823925702516285,0.827369874186698,0.204057118736249,0.301316712486252,0.600333382728651,0.979943466852159
0.257338011847183,0.851629723549627,0.116758588665897,0.336287007322893,0.045560642088124,0.029296903515818,0.104677198344256,0.720904649847461,0.209163106188519
0.040808364581417,0.119704876472068,0.018829135934353,0.571283011686621,0.871050140536097,0.271829677826585,0.778184355947523,0.453941159942273,0.698912867987555
0.055212029621048,0.045610392682058,0.191911556472753,0.999227335454755,0.285949994189931,0.662586220662208,0.86931414669467,0.988191099937195,0.213174824895543
0.04956006539207,0.217223858405132,0.16194583797263,0.373563440308353,0.410537751950717,0.330984282701456,0.339287088604044,0.752526031876865,0.441462519907883
0.054776476713099,0.237717727480516,0.386885709685463,0.376320696420079,0.598882776650097,0.246100483056577,0.477146980000617,0.902180737686204,0.770505960058712
0.049039631979779,0.097871306421576,0.148242522744087,0.894374443726947,0.949973336257849,0.024882208041278,0.470902776146176,0.691602948284254,0.949812039267168
0.028937340581926,0.965251423482387,0.237666506123774,0.524986379666102,0.300191873699798,0.467346030359817,0.506817927976673,0.826462583658677,0.796560728726194
0.095230187180554,0.442661756652304,0.181149357613042,0.605773898522853,0.01560056371144,0.232628904886823,0.037435574689664,0.500814270068133,0.113224845277181
0.071516872775427,0.572082471675431,0.216284314317226,0.442993121473044,0.232681752895487,0.106435847141419,0.023341737022195,0.657184148834349,0.580274589668184
0.052665538004035,0.163389298333021,0.033560163470605,0.486098740533853,0.369164445546272,0.057075252360047,0.663882088455362,0.222194260691359,0.692487227083937
0.457664784891427,0.389657315582379,0.122350929523995,0.506038339377971,0.075592531100319,0.002263374785225,0.164795105576123,0.808484731588932,0.400564692743357
0.076545454356296,0.545830664849295,0.628975490924129,0.193489292931389,0.100474020574099,0.387470871724567,0.122245585933875,0.296915686594301,0.514823016618797
0.044660785841511,0.151757084914445,0.538611544293577,0.74972878595033,0.168826860486492,0.790472127229338,0.109781186334729,0.72554293389871,0.460713646810282
0.170977096747855,0.673560208124612,0.47548190870817,0.224187150195443,0.37211610413715,0.044277428859517,0.267725813940196,0.884351439623877,0.982282095995691
0.066021364244369,0.608861005885804,0.042437798240151,0.690081639174634,0.497487398279872,0.28908061864206,0.747552642519946,0.875366275898282,0.878371717369378
