,K_sa,K_sb,k_ba,k_ab,K_ba,K_ab,k_sa,k_sb,Ancho,Alto Off,Alto On,S_on,S_off
0.0015248358804200001,0.0461659616872,0.0436184040752,0.213129601851,0.303968962525,0.0461659616872,0.0461659616872,34.4873092798,13.337779828099999,0.001001001001,0.804262199838,0.7710582285140001,0.00500500500501,0.004004004004
0.00314036361603,0.0635972932474,0.608215734942,0.40446157084,0.15662130761600002,0.0635972932474,0.0635972932474,8.75582599102,1.56932768345,0.004004004004,0.664225114036,0.504809901908,0.039039039038999995,0.035035035035
0.00150634442579,0.07059672291369999,0.154126501045,0.49838972861599995,1.85480147542,0.07059672291369999,0.07059672291369999,8.72715441591,7.02830896827,0.002002002002,0.555944542323,0.445096409361,0.05005005005009999,0.048048048048
0.0017792853692099998,0.0172057390165,0.478864057923,0.029603745510299997,0.021265745896200002,0.0172057390165,0.0172057390165,12.8425904548,3.6131142273300005,0.001001001001,0.905574370715,0.869677399975,0.002002002002,0.001001001001
0.167689205138,0.05240476859280001,0.154013776606,0.274625977127,0.189758949569,0.05240476859280001,0.05240476859280001,0.268151112518,0.252115245075,0.209209209209,0.6899899582260001,0.7192302422399999,0.594594594595,0.38538538538500006
0.006529217214800001,0.0342893671085,0.321369397748,0.11757606967,0.288178797083,0.0342893671085,0.0342893671085,2.17449080988,16.0215149449,0.00700700700701,0.696587840247,0.823310012683,0.022022022022,0.015015015015
0.004818737730600001,0.07460571624810002,0.262231762145,0.556601289688,1.41882412109,0.07460571624810002,0.07460571624810002,11.4958048051,22.697362430300004,0.00600600600601,0.697311501431,0.6478869038180001,0.034034034034,0.028028028028
0.0026091555564800003,0.0497030259542,0.5648195090370001,0.24703907890000001,0.0343811756179,0.0497030259542,0.0497030259542,16.8186725142,3.92764213275,0.002002002002,0.611582281843,0.7554101543170001,0.00900900900901,0.00700700700701
0.0363589697334,0.0648849657151,0.38716040997400003,0.421005877585,24.999297275,0.0648849657151,0.0648849657151,1.39552518317,66.7471096045,0.05005005005009999,0.687212570412,0.61056625852,0.226226226226,0.176176176176
0.00691564099526,0.0857206965596,0.118001699049,0.734803781867,5.54733067872,0.0857206965596,0.0857206965596,4.061407980709999,62.76027922390001,0.010010010009999999,0.575669831713,0.628796588589,0.0680680680681,0.0580580580581
0.0176279652916,0.0176116737508,0.0816139345859,0.031017105230400004,1.67482372484,0.0176116737508,0.0176116737508,0.8858745266600001,48.056644264300004,0.018018018018,0.846464487079,0.83946893111,0.028028028028,0.010010010009999999
0.130860479553,0.0543940837871,0.7082017022210001,0.295871635104,49.4216893499,0.0543940837871,0.0543940837871,0.321138642654,70.8064531196,0.171171171171,0.686875517639,0.6475389693729999,0.662662662663,0.49149149149099997
0.0216523791977,0.059889759184999995,0.15815743625,0.35867832552400003,0.133652184379,0.059889759184999995,0.059889759184999995,1.13402680336,0.9919758709919999,0.029029029029,0.589502819815,0.689319599493,0.123123123123,0.0940940940941
0.17411147390599999,0.025822253291599997,0.726022383882,0.0666788765054,0.7515035858939999,0.025822253291599997,0.025822253291599997,0.121812892192,1.0957989408700002,0.201201201201,0.834393246962,0.57978227106,0.493493493493,0.29229229229200004
0.0173514675766,0.041407162907699996,0.943096455827,0.171455314006,0.817960109191,0.041407162907699996,0.041407162907699996,1.8969365064300001,8.6702082665,0.021021021020999998,0.793938746286,0.646425029661,0.07607607607610001,0.05505505505509999
